Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002771;;75015;13;1;SAGP;REAMENAGEMENT_SECTEUR;;rue Auguste Dorchain et rue Joseph Liouville;Fermeture ponctuelle des deux rues pendant la phases de travaux rue de la Croix Nivert avec mise en sens unique de la rue Joseph Liouville.;2025-01-13;2025-12-31;SENS_UNIQUE;fermeture de la rue Dorchain  du 07/01 au 10/03/2025, mise en sens unique de circulation de la rue Liouville du 13/01/ au 31/10/2025? déviation mise en place depuis la rue mademoiselle.;1;2;;"{""coordinates"": [[[2.298346171742704, 48.84493106058378], [2.298371846651267, 48.844837223833856], [2.2982008360676294, 48.84484696189021], [2.2978120003892726, 48.845019228279526], [2.2976665192144314, 48.84494587011225], [2.2978085547530887, 48.84376515143133], [2.2976822598543243, 48.843777836703], [2.297576945187403, 48.84495071432874], [2.297790609981216, 48.84509697791158], [2.298346171742704, 48.84493106058378]]], ""type"": ""Polygon""}";48.84455472792496, 2.2978075906291853
CP002804;;75008;9;3;O.G.I.C;REHABILITATION_IMMEUBLE;;61 - 59 Bld Haussmann;;2024-09-02;2026-09-14;RESTREINTE;2 phases sur trottoir et voie de circulation.;2;2;;"{""coordinates"": [[[2.325710773428512, 48.87382795153473], [2.3257157047943107, 48.87384006284122], [2.3261815878128833, 48.87377891136784], [2.3261758377120256, 48.873751354708254], [2.325701788674171, 48.87381447468071], [2.325710773428512, 48.87382795153473]]], ""type"": ""Polygon""}";48.87379594480869, 2.325945345329151
CP002876;;75018;9;1;SAGP;REAMENAGEMENT_VOIRIE;;Bretelle sortie Bd Périphérique(bj/18);;2025-04-01;2025-12-31;BARRAGE_TOTAL;;1;4;;"{""coordinates"": [[[2.3581527984198862, 48.900304063936], [2.358210246016951, 48.900269464881404], [2.3581175359115694, 48.90019109725697], [2.3580318791042236, 48.90020137867377], [2.3581527984198862, 48.900304063936]]], ""type"": ""Polygon""}";48.90024203846762, 2.3581265643694023
CP002913;;75019;10;1;STV;REAMENAGEMENT_VOIRIE;Aménagement du carrefour;rue du Général brunet;carrefour Général Brunet / Compans/ Mouzaïa;2025-09-02;2025-11-14;RESTREINTE;circulation difficile en plusieurs phases;1;3;;"{""coordinates"": [[[[2.390439300775138, 48.879912320457784], [2.390536198956492, 48.87985384210358], [2.3904756524962516, 48.87980922752399], [2.3902319166684234, 48.87993687723805], [2.390162756190865, 48.87993249776485], [2.3898960342160347, 48.879763311450354], [2.389768889347682, 48.8798432208147], [2.389717623629015, 48.87987518154354], [2.3897135680895314, 48.87987381817173], [2.3899599506979343, 48.880041558538245], [2.389959384554406, 48.88008989007213], [2.389824096394302, 48.88016975797968], [2.389910853164995, 48.88023598780713], [2.3900522954701753, 48.88015212396733], [2.390123539035746, 48.88015248692047], [2.390670815699205, 48.880527178286016], [2.390889905504363, 48.88041819830779], [2.390566843014001, 48.8801923372286], [2.3905907550113215, 48.88014949532982], [2.3908175112199364, 48.880168103548726], [2.3908200493944705, 48.880125152842865], [2.3908318294031132, 48.87998826572452], [2.3904697428119954, 48.87996628408921], [2.390447823547302, 48.87992589335377], [2.3904336840707696, 48.87991642337569], [2.390439300775138, 48.879912320457784]], [[2.3903332373777286, 48.87997632969455], [2.390420210042513, 48.87992384168129], [2.3904193416865573, 48.87992440563556], [2.3903332373777286, 48.87997632969455]], [[2.390420210042513, 48.87992384168129], [2.390450110595228, 48.87990442363213], [2.390439300775138, 48.879912320457784], [2.390420210042513, 48.87992384168129]]]], ""type"": ""MultiPolygon""}";48.880112606108995, 2.390352587988481
CP002697;;75010;11;3;Eiffage;REHABILITATION_IMMEUBLE;Base de vie.;79 boulevard de Strasbourg.;en chaussée centrale du boulevard de Strasbourg.;2024-11-12;2025-11-14;RESTREINTE;Réduction de la voirie des BUS et Taxis  sens gare de l'EST boulevard Magenta au droit du  boulevard de Strasbourg.;2;2;;"{""coordinates"": [[[2.357626786382648, 48.8753909265887], [2.3576736405120413, 48.87538782078958], [2.357675684239932, 48.87538716085166], [2.3575753672907913, 48.87518657074664], [2.357538632610941, 48.87519442984643], [2.3575126685307484, 48.875236583548], [2.3575608789960816, 48.87537110498413], [2.357626786382648, 48.8753909265887]]], ""type"": ""Polygon""}";48.8752975487471, 2.357585321445377
CP002873;;75014;12;1;SAGP;REAMENAGEMENT_VOIRIE;Création d'un parc a chien et aménagement de la place Denfert Rochereau(vélos - vl);Place Denfert Rochereau;;2025-05-05;2025-12-18;RESTREINTE;du 28/07/ au 12/08 fermeture total de la rue René Coty(station orly bus- station RER Denfert Rochereau);1;2;;"{""coordinates"": [[[[2.3293014064912256, 48.835237093457394], [2.329477889311819, 48.83540967652578], [2.3311611540748323, 48.83483906353826], [2.331434298099993, 48.83510912647838], [2.331744531121677, 48.8350249288858], [2.3320533854601755, 48.83504813730712], [2.3319364669097697, 48.835283795700235], [2.3322449114599406, 48.83533922485972], [2.332546025101513, 48.834696419358025], [2.3327707791960512, 48.83493398476196], [2.3330490168599005, 48.83480663967419], [2.3328892052357673, 48.834580178185675], [2.3343202668703635, 48.834641859000264], [2.3343559618473773, 48.834395004127856], [2.3335916930149345, 48.834358523919946], [2.333496408458367, 48.83417538831341], [2.3361092801684533, 48.83342727737391], [2.3358541687436247, 48.83301768667696], [2.3336501136952332, 48.833606949021004], [2.333234248124363, 48.833046075714265], [2.3326642693500395, 48.83308586257792], [2.3325961665950965, 48.83332179434505], [2.3319750370700163, 48.833543897344775], [2.3320386011263863, 48.83366240819334], [2.330812316109653, 48.83412817775529], [2.3308593317517823, 48.834268078973516], [2.3293014064912256, 48.835237093457394]]], [[[2.329284720077821, 48.83524747216045], [2.3293014064912256, 48.835237093457394], [2.32930112932187, 48.835236822991405], [2.329284720077821, 48.83524747216045]]]], ""type"": ""MultiPolygon""}";48.83415565136278, 2.332637279493124
CP002910;;75020;10;1;STV;REFECTION_CHAUSSEE;;rue Pierre Bayle;;2025-10-13;2025-11-07;SENS_UNIQUE;mise en inversion de sens de circulation.;1;2;;"{""coordinates"": [[[2.3899647583976, 48.858461073096116], [2.390135232015803, 48.858499536483414], [2.3906682417291747, 48.85885670914485], [2.3911634516266758, 48.85896664122743], [2.3912051506685144, 48.85888092448429], [2.390717828186214, 48.85879251449721], [2.390200530132405, 48.858483757461464], [2.390258947326619, 48.85836053172333], [2.3899647583976, 48.858461073096116]]], ""type"": ""Polygon""}";48.85871605482454, 2.390601990997054
CP002933;;75014;12;1;musée ville de Paris;REHABILITATION_IMMEUBLE;;avenue Henri Rol-Tanguy;;2025-11-03;2026-04-30;RESTREINTE;Suppression voie BUS;2;2;;"{""coordinates"": [[[2.332451275273224, 48.834004113308275], [2.3321461410447752, 48.8336909081237], [2.3320398386492966, 48.833733280186806], [2.3323047098768033, 48.83401403730301], [2.332312776430295, 48.83401945247924], [2.332353519156562, 48.83401430976558], [2.3323697884625725, 48.834014400579484], [2.332304572302582, 48.834024777726114], [2.332451275273224, 48.834004113308275]]], ""type"": ""Polygon""}";48.83386370411516, 2.332239688952074
CP002945;;75014;12;3;RATP;TRAVAUX_OUVRAGE;;24 Boulevard Jourdan;Depuis le rue de la Cité universitaire à la station du RER.;2025-12-08;2025-12-15;BARRAGE_TOTAL;Travaux de 21h à 5h00 du matin, installation d'une base vie.;1;1;;"{""coordinates"": [[[[2.3391188207565405, 48.82024368043361], [2.339228616500269, 48.82038107146695], [2.341579238307126, 48.8199135235735], [2.3415647352530833, 48.819773803004715], [2.3391188207565405, 48.82024368043361]]], [[[2.339228616500269, 48.82038107146695], [2.339214644072839, 48.82038385069009], [2.339230909137686, 48.82038394057183], [2.339228616500269, 48.82038107146695]]]], ""type"": ""MultiPolygon""}";48.82008183573835, 2.340350980169904
CP002948;;75001;11;3;APHP;REHABILITATION_IMMEUBLE;;3 avenue Victoria;;2026-01-05;2026-09-11;RESTREINTE;neutralisation d'une voie de circulation.;2;1;;"{""coordinates"": [[[2.3508154198246403, 48.85674788613137], [2.349737464429701, 48.85703741610742], [2.34940271527231, 48.8571215268654], [2.349272968280961, 48.857083226700354], [2.3491296968000137, 48.85682465838473], [2.3490727271560403, 48.85682434850048], [2.3492881730850654, 48.857169238775064], [2.3493526100798987, 48.85722329569794], [2.3495320588388395, 48.857192047539684], [2.349557547034071, 48.85710625669848], [2.349851402829179, 48.85703803520833], [2.349964738238353, 48.85708698654477], [2.350863113093033, 48.85683944519334], [2.3508154198246403, 48.85674788613137]]], ""type"": ""Polygon""}";48.85697450363121, 2.350050305233319
CP002682;;75015;13;3;MACON DE FRANCE;REHABILITATION_IMMEUBLE;;rue Paul Barruel Paris 15;Du n ° 10 au  16;2024-10-21;2026-10-31;RESTREINTE;fermeture du trottoir coté pair du 10 au 16 rue Paul Barruel et renvoie des piétons coté impair. Réduction de la voirie pendant toute la durée des travaux.;2;2;;"{""coordinates"": [[[2.304594709199898, 48.839767887546316], [2.304803116222228, 48.83939314897739], [2.3048163576920717, 48.83931535041076], [2.304743388636326, 48.83929612859435], [2.3044770276648134, 48.8397457201211], [2.304594709199898, 48.839767887546316]]], ""type"": ""Polygon""}";48.83954177580066, 2.304658267792856
CP002880;;75014;12;1;SAGP;REAMENAGEMENT_SECTEUR;;terre plein centrale en vie à vie du 66 avenue du Maine;;2025-06-30;2025-10-31;RESTREINTE;;2;4;;"{""coordinates"": [[[2.321697427336116, 48.84003147811206], [2.3218504695937434, 48.840150501116035], [2.321983577436651, 48.839925686197795], [2.321797572706559, 48.83983870080116], [2.321697427336116, 48.84003147811206]]], ""type"": ""Polygon""}";48.83998703501095, 2.3218355368042887
CP002893;;75004;11;2;RATP;SONDAGES_INJECTIONS;Sondages et travaux d'étanchéité sur ouvrage;58 Rue de Rivoli;;2025-08-04;2025-11-28;RESTREINTE;Fermeture de la vois de bus et les bus sont renvoyé dans la circulation générale;2;2;;"{""coordinates"": [[[2.3537700911139394, 48.857030869434965], [2.353750277980251, 48.85698779775347], [2.3537461752150985, 48.85699046015793], [2.35375438075614, 48.856985134449616], [2.352456496278008, 48.857289612726], [2.3524843473336654, 48.857340784491846], [2.3537700911139394, 48.857030869434965]]], ""type"": ""Polygon""}";48.857165818511, 2.353098516403715
CP002921;;75015;13;2;RATP;TRAVAUX_TRAMWAY;gare terminus.;Avenue Ernest Renan;;2025-07-01;2026-02-28;RESTREINTE;;2;4;;"{""coordinates"": [[[2.287506608175072, 48.83217387941729], [2.287589861006756, 48.83203473532841], [2.285388874157379, 48.83058224014499], [2.285241427230236, 48.83065654980492], [2.287506608175072, 48.83217387941729]]], ""type"": ""Polygon""}";48.831377103388654, 2.286453825475676
CP000753;;75013;14;2;SNCF;TRAVAUX_OUVRAGE;Couverture des voies SNCF;Av de France;côté voies SNCF entre rue Julie Daubié et rue Nicole Rein-Lepaute.;2018-07-23;2025-12-31;RESTREINTE;Les deux sens de circulations sont reportés côté pair de l'avenue.;2;4;;"{""coordinates"": [[[2.379871709032515, 48.82714237090668], [2.3811746477660307, 48.82571180087148], [2.3804182115733226, 48.82548285012793], [2.3786689133943018, 48.82665533943943], [2.379871709032515, 48.82714237090668]]], ""type"": ""Polygon""}";48.82630766425324, 2.3799694728731717
CP002753;;75013;14;1;mission vélo;REAMENAGEMENT_VOIRIE;;rue Nationale;depuis bd Vincent Auriol jusqu'à la rue du docteur Charles Richet.;2025-01-13;2026-03-06;BARRAGE_TOTAL;Barrage de la demi-chaussée depuis Bd Vincent Auriol jusqu'à la rue docteur Charles Richet.;1;4;;"{""coordinates"": [[[[2.362181321507285, 48.832697443941726], [2.363463995020297, 48.83174527921968], [2.3633974180464983, 48.83170765586998], [2.362239708966034, 48.83257959971659], [2.3620922674246643, 48.83266205997811], [2.362181321507285, 48.832697443941726]]], [[[2.363463995020297, 48.83174527921968], [2.363474170507373, 48.83175102998489], [2.3634743344430533, 48.83173760416015], [2.363463995020297, 48.83174527921968]]]], ""type"": ""MultiPolygon""}";48.83219893646782, 2.362797787744104
CP002827;;75015;13;3;Vittali;REHABILITATION_IMMEUBLE;Emprise sur chaussée avec passage en lisse pour le cheminement piéton.;189 rue de Vaugirard;;2025-03-26;2026-09-30;RESTREINTE;"Bus et véhicules en circulation générale.
Vélos maintenue de Bd Pasteur à rue Favorites et en circulation générale de rue Germaine de Stael au Bd Pasteur.";1;2;;"{""coordinates"": [[[[2.3115053965582946, 48.8425212049906], [2.3114270462509072, 48.842498505506306], [2.3114125246779618, 48.84251990508683], [2.311489001472825, 48.84258210836076], [2.3118129948515214, 48.84269407127615], [2.3119512923561976, 48.84269620953724], [2.3119739858626835, 48.842672172287436], [2.311935533026735, 48.84265718173096], [2.3120079476398723, 48.84256495359009], [2.3115723324086117, 48.84243355032334], [2.3115053965582946, 48.8425212049906]], [[2.311497812098104, 48.842531137112154], [2.3115053965582946, 48.8425212049906], [2.31151215628447, 48.84252316314278], [2.311497812098104, 48.842531137112154]]]], ""type"": ""MultiPolygon""}";48.842572560704156, 2.3117284671910614
CP002861;;75010;11;3;Groupe 3 F;REHABILITATION_IMMEUBLE;;178 rue du Faubourg Saint-Martin angle rue du Terrage.;;2025-06-17;2027-05-28;RESTREINTE;Réduction a 2 voies de circulation.;1;2;;"{""coordinates"": [[[2.3621514449966394, 48.87767687627935], [2.362127350050924, 48.87764989470735], [2.3617226408797967, 48.87778602803669], [2.361672655059333, 48.87787840270962], [2.3618222863909075, 48.87812624271587], [2.36190762651052, 48.8781387819566], [2.3619769466935248, 48.87812975249703], [2.36200352276245, 48.87812049610591], [2.361853824792135, 48.877878025891334], [2.361877053421535, 48.8778096762964], [2.3621493779396205, 48.87767954977507], [2.3621493614963422, 48.87768089239176], [2.3621533983365737, 48.87768359930937], [2.3621514449966394, 48.87767687627935]]], ""type"": ""Polygon""}";48.877908478189966, 2.361857087204525
CP002896;;75001;11;3;NOREA;REHABILITATION_IMMEUBLE;;164 rue de Rivoli;;2025-08-11;2026-03-31;RESTREINTE;Renvoi des bus en circulation générale. voie  protégé par des B11;2;2;;"{""coordinates"": [[[[2.3379180866025755, 48.861961888978676], [2.33900741538964, 48.86160735647757], [2.3389889911122808, 48.86159992322574], [2.338875247310801, 48.86158318308811], [2.3378780378416346, 48.86191064648574], [2.3379180866025755, 48.861961888978676]]], [[[2.33900741538964, 48.86160735647757], [2.339009236660339, 48.86160809141169], [2.339013339190561, 48.86160542861685], [2.33900741538964, 48.86160735647757]]]], ""type"": ""MultiPolygon""}";48.86176405953054, 2.3384264252805
CP002371;657955;75012;14;2;RATP;TRAVAUX_OUVRAGE;Travaux relatifs à la modernisation de la ligne 6- - Création d'ouvrage en sous-oeuvre;Place de la Nation;Entre avenue du Bel Air et avenue du Trône;2022-07-18;2025-11-28;RESTREINTE;;2;4;;"{""coordinates"": [[[2.39718197466874, 48.84798095976355], [2.3973323649379124, 48.847915090566765], [2.397254174864216, 48.84782600596514], [2.3971559410265293, 48.84773811448033], [2.396988410662728, 48.84759651586232], [2.3968185718801727, 48.84751245144689], [2.3967071568521323, 48.847574043170916], [2.396595364865238, 48.84773171990901], [2.3968357600903647, 48.84783287283599], [2.396939349356215, 48.84776081894162], [2.3969857497871954, 48.84780150487328], [2.397081826383517, 48.84775558779629], [2.3972067576333225, 48.84786448696595], [2.3971068290793753, 48.847931800149304], [2.39718197466874, 48.84798095976355]]], ""type"": ""Polygon""}";48.847721304519226, 2.396928147068433
CP002666;;75015;13;3;S.N.C.F;REHABILITATION_IMMEUBLE;;Boulevard Vaugirard (1-17);;2024-10-30;2026-03-30;RESTREINTE;Réduction de voirie et suppression du couloir de bus. Circulation sur une voie pour tous les véhicules.;1;2;;"{""coordinates"": [[[2.319176513855834, 48.84165315782454], [2.319752173403109, 48.84180949672928], [2.319772793744469, 48.841788131722375], [2.319748490643204, 48.84177993700274], [2.319760975804965, 48.84175852573643], [2.3192056202719904, 48.84160498702553], [2.319176513855834, 48.84165315782454]]], ""type"": ""Polygon""}";48.84170643714342, 2.3194725247371406
CP002836;;75013;14;1;Mission vélo;REAMENAGEMENT_VOIRIE;piste cyclable et verdure;rue Nationale.;;2025-01-13;2026-03-06;RESTREINTE;;1;2;;"{""coordinates"": [[[2.3622223723457383, 48.83266678209567], [2.362132759728751, 48.83267704538291], [2.362148897246368, 48.832687872615814], [2.3622947305402415, 48.83273698687025], [2.3641333389663544, 48.83139872652458], [2.3639725509669174, 48.83124212130059], [2.3652088435838414, 48.82925615138649], [2.3654278763583605, 48.82930565051108], [2.365627278914066, 48.828962981852506], [2.3650188579739857, 48.828825484854626], [2.364795311237267, 48.82914654102397], [2.3650467494203875, 48.82920695416533], [2.363752461352799, 48.8312785452686], [2.363699721413771, 48.83160050820546], [2.3622223723457383, 48.83266678209567]]], ""type"": ""Polygon""}";48.83045368798064, 2.3643144119020167
CP002848;;75019;10;1;SAGP;REAMENAGEMENT_SECTEUR;Aménagement de la place,verdure,pieton,cyclable.;place du colonel Fabien;;2025-01-01;2026-05-01;RESTREINTE;;1;2;;"{""coordinates"": [[[[2.370174616038828, 48.878711012628216], [2.370509011114133, 48.87868943646983], [2.370519170498057, 48.87849800600481], [2.370511094458657, 48.87849259273053], [2.3706380708880164, 48.87842881422708], [2.370747076806335, 48.87850457406885], [2.370829112185025, 48.878453986155826], [2.3707526402789445, 48.878381081901594], [2.3709230181103518, 48.878094656988516], [2.3712727565875364, 48.878126031957116], [2.371286331359231, 48.87801332252609], [2.3708961108618225, 48.87796293792089], [2.3707645296689694, 48.877734001266006], [2.3711102100540145, 48.877427013978995], [2.3708028373351513, 48.87725891439739], [2.370526555328527, 48.87755015333888], [2.3703682146197367, 48.87751441215514], [2.3703699999552126, 48.87736673315346], [2.3702153413536475, 48.87736323421283], [2.3702136529809277, 48.877502858403716], [2.3701315873909397, 48.87755613118176], [2.3700579547323914, 48.877585281415655], [2.3699126395887116, 48.877482477493984], [2.369765504116598, 48.87753003760601], [2.369910495623961, 48.87765969226684], [2.3698443212657003, 48.8777452724612], [2.369715558340359, 48.87795672819574], [2.369692247000704, 48.87820096298348], [2.36986866957003, 48.87842476686463], [2.3699096057549323, 48.878406185396166], [2.369688347445961, 48.878523172158665], [2.369785172542189, 48.87859618333771], [2.369990017753141, 48.87848985164739], [2.370030499237653, 48.878508861610555], [2.370019693617849, 48.87872899440455], [2.370174616038828, 48.878711012628216]]], [[[2.370509011114133, 48.87868943646983], [2.3705086279484457, 48.878696657885804], [2.3705209374596485, 48.87868866729918], [2.370509011114133, 48.87868943646983]]]], ""type"": ""MultiPolygon""}";48.87801383776766, 2.370362507056921
CP002883;;75006;12;3;Senat;REHABILITATION_IMMEUBLE;Travaux sur le Senat;Rue Vaugirard;Palais du Luxembourg;2025-07-02;2026-07-02;RESTREINTE;Réduction des nombres des voies;2;2;;"{""coordinates"": [[[2.337785482774472, 48.84922606194505], [2.3370447225834643, 48.84924344261404], [2.3370448250701443, 48.84923538672799], [2.3370325173727324, 48.84924337498353], [2.3370359713479325, 48.84929172924752], [2.337784732090233, 48.84928513484933], [2.337785482774472, 48.84922606194505]]], ""type"": ""Polygon""}";48.84926140321307, 2.3374220509138848
CP002917;;75018;9;1;MV;REAMENAGEMENT_VOIRIE;aménagement voirie_ vélo;rue Caulaincourt;entre le Bd Clichy et Damrémont;2025-09-22;2025-12-02;RESTREINTE;restera 1 file dans chaque sens de circulation;1;2;;"{""coordinates"": [[[2.332396177565073, 48.88655872596533], [2.332539713887328, 48.8864789697335], [2.329729023863999, 48.88466953010291], [2.3295566424938334, 48.88477597378087], [2.3305419831250647, 48.8854098329962], [2.33069618113977, 48.88545097425274], [2.3307648767028324, 48.88549163652467], [2.332352113763153, 48.88650209056209], [2.3323883094137505, 48.88653720072989], [2.332396177565073, 48.88655872596533]]], ""type"": ""Polygon""}";48.88553327383164, 2.3309302200373456
CP002924;;75010;11;1;SAGP;REAMENAGEMENT_VOIRIE;aménagement en vélorue;quai de Valmy;entre Eugéne Varlin et Grange aux Belles;2025-09-29;2026-03-16;IMPASSE;déviation cyclistes par le quai Jemmapes. par phase, phase à partir de début octobre 2 mises en impasse de part  et d'autre de l'emprise.;1;2;;"{""coordinates"": [[[2.365329089052343, 48.8776969532484], [2.3654855229775795, 48.87755479307327], [2.3653615990176213, 48.877534668311874], [2.365282611089742, 48.87750202644238], [2.365211342854613, 48.877420419898634], [2.3643800889501714, 48.876455894213834], [2.3630917979209385, 48.87494262087818], [2.3629882607194883, 48.87475410257159], [2.3629174525408914, 48.87455233125058], [2.3628990374642096, 48.87439380357536], [2.362926548289765, 48.87414153610586], [2.362998079582509, 48.87395126294443], [2.3637055918777747, 48.87301787149515], [2.3636413172673594, 48.872947713399434], [2.363165530998616, 48.87357353337466], [2.3630291679155526, 48.87373929386403], [2.362875601141062, 48.87398014890773], [2.3628119153635483, 48.87419463070995], [2.3627983543542332, 48.87420516619047], [2.36267178109891, 48.87423604465735], [2.3626463884373834, 48.87423188133402], [2.362685321233039, 48.87429384961129], [2.362606765459484, 48.87430954295051], [2.362643276968969, 48.87431980632226], [2.3627880693450445, 48.87446356705404], [2.36282954454898, 48.87465041345273], [2.3629086174245226, 48.87484215893719], [2.3630175790300596, 48.875003182008946], [2.3632884656874973, 48.875322154974356], [2.36455082445816, 48.87679067380045], [2.365329089052343, 48.8776969532484]]], ""type"": ""Polygon""}";48.87532853084867, 2.3637241453590185
CP002938;;75008;10;3;Entreprise PETIT;REHABILITATION_IMMEUBLE;;12 - 14 rue Vernet;;2025-11-13;2025-12-19;BARRAGE_TOTAL;"fermeture de la rue Vernet avec mise en inversion de sens de la rue Euler.
Prolongation à prévoir jusqu'en 2027.";1;2;;"{""coordinates"": [[[2.2988647597378344, 48.871817811296104], [2.299960740652273, 48.87144291584621], [2.299888486271282, 48.871367305374456], [2.2987354484878915, 48.87174723590433], [2.2988647597378344, 48.871817811296104]]], ""type"": ""Polygon""}";48.8715977320742, 2.299349661173419
CP002941;;75008;9;1;Mission vélo;REAMENAGEMENT_VOIRIE;;place du Canada;entre l'avenue franklin D Roosevelt et le pont des Invalides.;2025-11-12;2025-12-05;RESTREINTE;Chantier Mobile , et réduction de voie.;;2;;"{""coordinates"": [[[2.31040067858371, 48.86509866179056], [2.3104512228454666, 48.864970059306074], [2.3108581347190786, 48.86497777395653], [2.3108512022686334, 48.864886433987934], [2.310476921356156, 48.86487353730133], [2.31052995280417, 48.864556978025284], [2.309919481967675, 48.864553459596074], [2.3099426204454043, 48.86465026310903], [2.309793262227888, 48.86486422565719], [2.3097516392946407, 48.8649338029349], [2.3098320392216554, 48.865009454834336], [2.310010542694418, 48.86505344864764], [2.3102053979056896, 48.865092166427786], [2.31040067858371, 48.86509866179056]]], ""type"": ""Polygon""}";48.86482789133244, 2.3102220024513365
CP002942;;75008;13;2;ENEDIS;RACCORDEMENT_RESEAU;;11 rue Galilée;fermeture de la rue Galilée pour travaux sur chaussée. (du n° 11 au 13);2026-01-19;2026-01-23;SENS_UNIQUE;mise en inversion de sens de circulation de la rue de l'Amiral Hamelin depuis le Bld Kléber jusqu'à la rue Galilée.;1;1;;"{""coordinates"": [[[2.291629563619488, 48.86871486719251], [2.2919417747595405, 48.86790575668289], [2.292103408027385, 48.867992641858656], [2.2921532705458856, 48.867917748583174], [2.291974991317447, 48.867857617729264], [2.291828324345899, 48.867867491832264], [2.291565902664169, 48.868607078660304], [2.291629563619488, 48.86871486719251]]], ""type"": ""Polygon""}";48.8682057750075, 2.2917908344937152
CP002476;810335;75016;13;1;RIVP;CONSTRUCTION_IMMEUBLE;Démolition et construction d'un immeuble;Rue du Docteur Blanche;Entre la rue Henri Heine et la rue l'Yvette;2023-03-27;2026-07-06;SENS_UNIQUE;Mise à sens unique de la rue du Docteur Blanche de la rue Henri Heine à la rue l'Yvette;2;2;;"{""coordinates"": [[[2.2648918367875766, 48.85302756673262], [2.2647940376200824, 48.85304038613571], [2.265029036597828, 48.853393454553206], [2.2650001497441274, 48.853422802281955], [2.2653026287123583, 48.85389438693988], [2.2654659198395364, 48.85385244312589], [2.265366586732197, 48.853685415332926], [2.2653098739999864, 48.85366896224454], [2.2648918367875766, 48.85302756673262]]], ""type"": ""Polygon""}";48.85351124901634, 2.265144855721094
CP002695;;75015;13;3;Elogie.Siemp;REHABILITATION_IMMEUBLE;;5 rue du Bessin;;2024-10-07;2026-02-13;RESTREINTE;Réduction de la voirie avec entrée et sortie de poids lourds.;2;2;;"{""coordinates"": [[[2.305629240952048, 48.831148026839976], [2.3061722975740007, 48.830839003163874], [2.306176391780886, 48.830837013211635], [2.3062890940557974, 48.8308497509906], [2.3066414953218457, 48.8312660138834], [2.306666023598463, 48.83125675759909], [2.3062675376005193, 48.830788534014594], [2.3061577781227083, 48.83078386900094], [2.3055748162293677, 48.83111145879396], [2.305629240952048, 48.831148026839976]]], ""type"": ""Polygon""}";48.83097169004043, 2.3060615779034053
CP002845;;75012;14;1;Se.Seine et Ouvrage d'Art;CREATION_ENTRETIEN_OUVRAGE_ART;;Boulevard de la Bastille;A l'intersection de la rue Jules César;2025-04-14;2026-01-30;RESTREINTE;Réduction du boulevard de Bastille à une voie de circulation. Itinéraire cyclable maintenu. Déviation du cheminement piéton. Fermeture de la passerelle Mornay.;1;2;;"{""coordinates"": [[[2.367918485203844, 48.848892287499794], [2.3680952154513246, 48.84930004642415], [2.368213499007915, 48.84927650359929], [2.3680723602336755, 48.84897016973434], [2.367918485203844, 48.848892287499794]]], ""type"": ""Polygon""}";48.849111388744525, 2.3680726230268947
CP002867;;75009;11;3;Bâtiment Privé;REHABILITATION_IMMEUBLE;;17 Rue du Faubourg Poissonnière;"17 Faubourg Poissonnière, 2-10 Rue Bergère, 
2 Rue du Conservatoire";2025-06-26;2026-12-15;;Réductions des nombres de voies  et fermetures de passage piétons;2;2;;"{""coordinates"": [[[2.347807526622296, 48.87237608819413], [2.34787669029385, 48.87237915044287], [2.3478806906934837, 48.872059625439], [2.3478235040397535, 48.87207542553122], [2.3478233695648156, 48.87208616560428], [2.347807526622296, 48.87237608819413]]], ""type"": ""Polygon""}";48.872227865684295, 2.3478473766165115
CP002926;;;14;3;OPÉRA BASTILLE;TRAVAUX_OUVRAGE;Levage tous les lundis et tous les jeudis;rue de Lyon;Au n°154 rue de Lyon;2025-09-29;2026-04-30;RESTREINTE;Reste 1 file de circulation générale sur 3;1;2;;"{""coordinates"": [[[[2.369567163236593, 48.85263495048095], [2.36948287402957, 48.85268066382452], [2.3696195723846096, 48.852985494776696], [2.369735316152029, 48.85300423005399], [2.369567163236593, 48.85263495048095]]], [[[2.369565862221942, 48.85263209447645], [2.369567163236593, 48.85263495048095], [2.36956991375117, 48.85263345855712], [2.369565862221942, 48.85263209447645]]]], ""type"": ""MultiPolygon""}";48.85282670361018, 2.3696031039415084
CP002934;;75012;14;3;SNCF;TRAVAUX_OUVRAGE;Travaux SNCF sur contre-allée et parvis;rue de Bercy;de la rue Van Gogh à la rue Rambouillet;2025-10-03;2027-12-31;RESTREINTE;voie restreinte pour les bus et taxis;1;2;;"{""coordinates"": [[[2.3720765518073907, 48.84463157620636], [2.3722060244312395, 48.844691332796636], [2.376499194882298, 48.84223791453681], [2.376394516183632, 48.84214606761534], [2.372445218140214, 48.844424055342124], [2.3720522067951744, 48.844626078350615], [2.3720765518073907, 48.84463157620636]]], ""type"": ""Polygon""}";48.84340214278029, 2.3743379954241055
